qid,timeout,n_sample,n_reject,estimate,rel_ci,runtime
0,20000.0,1000373.0,609223.0,80220.59380117744,0.004699,20.003968954086304
1,20000.0,6821.0,9242486.0,10236271.049643504,0.023723,20.003350734710693
2,20000.0,1653.0,8575904.0,1441746.5401821288,0.048203,20.00328016281128
3,20000.0,1914.0,8515337.0,1681210.7742474654,0.044795,20.00321912765503
4,20000.0,980.0,7695231.0,7281444.285973968,0.062605,20.00333595275879
5,20000.0,984661.0,1312022.0,429561.26028232893,0.003951,20.003468990325928
6,20000.0,29202.0,8415259.0,55371514.722351134,0.01145,20.003206968307495
6,20000.0,1536201.0,18213.0,10971.918357657612,0.000171,20.003289699554443
6,20000.0,602.0,1625290.0,716499.4564337607,0.079867,20.003257751464844
7,20000.0,18759.0,8278983.0,36243832.917451516,0.014294,20.003150939941406
7,20000.0,1471890.0,265718.0,9404.263090409344,0.000632,20.003102779388428
7,20000.0,412.0,1802809.0,442139.51219512196,0.096549,20.003156661987305
8,20000.0,1573899.0,8206.0,173400.92168029302,0.000113,20.003087520599365
8,20000.0,113.0,8074600.0,739557.1996125435,0.184377,20.00308132171631
8,20000.0,1534418.0,856.0,303017.9565119972,3.7e-05,20.00306248664856
8,20000.0,103.0,8074520.0,674117.173471133,0.19312,20.00309681892395
9,20000.0,745.0,15667165.0,760698.5121148896,0.071806,20.003153800964355
9,20000.0,2889904.0,82538.0,169464.94388115898,0.000192,20.003047704696655
9,20000.0,1361943.0,9388195.0,11627.930025270372,0.001569,20.003077507019043
9,20000.0,809.0,15672093.0,825784.0035999714,0.068907,20.003126859664917
10,20000.0,836.0,10799243.0,1223436.8128677576,0.067784,20.00313949584961
10,20000.0,1254751.0,2827233.0,53579.18430229026,0.001456,20.003127336502075
10,20000.0,579846.0,854331.0,32265.722776198476,0.004828,20.003129720687866
10,20000.0,237.0,10796009.0,346958.6931105497,0.127312,20.003157377243042
11,20000.0,39067.0,7864893.0,261207564.4407797,0.009892,20.003079175949097
11,20000.0,1031577.0,2591821.0,49624.42132633511,0.001632,20.003071546554565
11,20000.0,783761.0,706950.0,126695.91860796626,0.003482,20.00311040878296
11,20000.0,618210.0,1585979.0,1019522.9565749579,0.003746,20.00336241722107
12,20000.0,1445.0,7589010.0,10886003.214089274,0.051555,20.003236770629883
12,20000.0,1311039.0,2230014.0,64534.66042304366,0.001358,20.003053903579712
12,20000.0,360099.0,2435845.0,23262.438294543812,0.010012,20.003055334091187
12,20000.0,414243.0,2253163.0,317414.7420902555,0.008187,20.00317931175232
13,20000.0,128.0,16479025.0,444164.1525241012,0.173237,20.003216981887817
13,20000.0,448373.0,3442535.0,20086.225571254832,0.002753,20.00317621231079
13,20000.0,3147.0,3525364.0,40.403227877141376,0.036408,20.003174543380737
13,20000.0,3749.0,3592400.0,201.92562377142883,0.033251,20.003138065338135
14,20000.0,6687.0,8973609.0,10332802.789724303,0.023959,20.00313973426819
14,20000.0,2643796.0,834766.0,132476.253630092,0.00059,20.003164529800415
14,20000.0,2786801.0,0.0,79610.0,0.0,20.003060817718506
14,20000.0,6598.0,8968854.0,10200781.652879432,0.02412,20.003161907196045
15,20000.0,6822.0,9249139.0,10238120.107250884,0.023721,20.003215789794922
